Date,Open,High,Low,Close,Volume
2021-12-07,382.27,387.56,382.24,386.94,56005300
2021-12-08,387.27,388.88,385.38,388.67,39204000
2021-12-09,387.45,389.25,382.76,382.95,49973700
2021-12-10,385.77,387.38,382.59,387.12,52545800
2021-12-13,387.11,387.43,381.16,381.53,50166400
2021-12-14,376.7,379.41,373.13,377.58,75199200
2021-12-15,377.32,386.54,373.37,386.18,73858000
2021-12-16,387.15,387.57,374.67,376.25,82591400
2021-12-17,372.84,378.54,371.32,374.38,80492500
2021-12-20,369.65,371.53,367.61,370.74,65336800
2021-12-21,374.02,379.35,370.27,379.04,48899500
2021-12-22,378.75,383.86,378.09,383.66,37042200
2021-12-23,384.01,388.02,383.84,386.55,29595500
2021-12-27,387.85,392.94,387.82,392.94,32820700
2021-12-28,393.84,394.01,390.24,391.12,33113700
2021-12-29,391.25,392.52,388.68,391.06,32248500
2021-12-30,390.85,393.03,389.31,389.89,23850100
2021-12-31,389.22,390.58,386.96,387.46,34752900
2022-01-03,388.62,391.44,386.51,391.19,40575900
2022-01-04,391.73,391.77,383.02,386.11,58027200
2022-01-05,384.43,385.55,374.0,374.25,75739800
2022-01-06,372.43,377.23,370.2,373.99,70814300
2022-01-07,374.0,375.68,368.16,369.94,72652300
2022-01-10,365.03,370.7,359.66,370.18,91770500
2022-01-11,369.45,375.91,367.37,375.74,68295700
2022-01-12,378.31,380.01,374.95,377.23,54576400
2022-01-13,378.61,379.3,366.86,367.79,77994000
2022-01-14,365.27,370.41,365.07,370.08,80121200
2022-01-18,364.27,366.39,360.11,360.87,75450900
2022-01-19,362.43,364.9,356.64,356.91,81791500
2022-01-20,360.13,364.1,351.73,352.27,88610700
2022-01-21,350.08,352.72,342.22,342.5,143388900
2022-01-24,336.87,344.73,325.42,344.07,198685800
2022-01-25,337.61,341.86,332.75,336.09,124398400
2022-01-26,343.69,347.56,331.88,335.57,146559500
2022-01-27,340.27,342.09,331.17,332.19,95255700
2022-01-28,334.07,342.82,329.12,342.61,108167900
2022-01-31,343.97,354.15,342.34,353.57,94326400
2022-02-01,354.91,356.62,349.76,355.97,74433000
2022-02-02,360.1,360.43,354.77,358.86,78777100
2022-02-03,349.16,352.47,343.25,344.31,95384800
2022-02-04,344.83,351.96,342.77,348.66,86318300
2022-02-07,349.25,351.62,344.6,345.85,58198100
2022-02-08,344.71,350.83,343.58,349.74,64720900
2022-02-09,354.26,357.23,352.66,357.15,55766400
2022-02-10,350.13,356.92,347.23,349.07,112468500
2022-02-11,349.07,350.66,336.77,337.99,101569100
2022-02-14,337.44,341.81,334.91,338.41,80254400
2022-02-15,343.69,347.06,342.63,346.83,55128800
2022-02-16,344.58,347.76,341.55,346.74,58947100
2022-02-17,343.52,344.23,336.01,336.43,61801400
2022-02-18,337.36,337.75,330.28,332.59,80001500
2022-02-22,329.65,335.05,325.62,329.25,85967100
2022-02-23,332.4,333.24,320.5,320.81,86215400
2022-02-24,310.51,332.13,309.95,331.59,130614100
2022-02-25,332.39,336.94,328.58,336.74,78842100
2022-02-28,333.56,339.43,332.4,337.74,77515500
2022-03-01,336.72,338.99,330.05,332.57,67407000
2022-03-02,334.12,339.48,331.35,338.15,70609000
2022-03-03,340.79,340.9,331.46,333.32,71089400
2022-03-04,330.96,332.39,326.17,328.49,76936300
2022-03-07,328.48,329.64,316.17,316.37,89933800
2022-03-08,315.58,324.51,311.58,314.9,116153900
2022-03-09,323.08,327.59,320.49,326.24,64723400
2022-03-10,322.18,323.82,318.17,322.62,69362700
2022-03-11,325.59,325.9,315.44,315.93,66228400
2022-03-14,314.69,318.06,309.16,309.86,79802600
2022-03-15,312.5,320.36,310.89,319.58,76471000
2022-03-16,323.49,331.55,319.82,331.43,105243000
2022-03-17,329.53,335.5,328.23,335.44,67810000
2022-03-18,333.79,342.6,332.63,342.31,85446300
2022-03-21,341.47,343.7,336.97,341.36,73799100
2022-03-22,341.85,348.93,341.47,348.06,63345900
2022-03-23,345.19,348.75,343.0,343.06,70615500
2022-03-24,344.98,350.74,342.83,350.69,53555300
2022-03-25,350.63,351.68,346.09,350.39,57584200
2022-03-28,350.38,355.91,349.15,355.82,56833900
2022-03-29,359.71,362.56,356.94,361.94,68073000
2022-03-30,360.08,361.73,356.46,357.94,68757700
2022-03-31,358.09,358.44,352.67,353.51,67011400
2022-04-01,353.77,354.55,349.65,352.83,54527800
2022-04-04,353.67,360.11,353.41,360.1,45950200
2022-04-05,358.64,359.36,350.96,352.1,62738700
2022-04-06,346.79,347.89,341.82,344.46,90077100
2022-04-07,343.46,347.47,340.0,345.28,63777400
2022-04-08,343.54,344.29,339.82,340.45,61956100
2022-04-11,336.22,337.13,332.05,332.39,66107400
2022-04-12,337.14,339.03,329.62,330.99,72790200
2022-04-13,331.33,338.77,330.61,337.72,61367800
2022-04-14,337.81,338.32,329.78,330.0,73519400
2022-04-18,328.94,332.54,327.42,330.25,58560600
2022-04-19,329.61,338.21,328.58,337.63,56515700
2022-04-20,338.44,338.9,331.49,332.71,65500000
2022-04-21,336.59,339.2,324.9,325.82,75801000
2022-04-22,325.98,327.2,316.86,317.29,82562100
2022-04-25,315.66,321.68,314.39,321.37,101755900
2022-04-26,319.31,319.49,308.96,309.24,105819600
2022-04-27,309.33,314.83,307.15,308.87,111204200
2022-04-28,313.83,321.67,309.61,319.84,99450000
2022-04-29,315.63,319.08,304.81,305.44,91977900
2022-05-02,305.03,310.78,301.93,310.54,115511800
2022-05-03,310.56,313.17,308.11,310.87,78185500
2022-05-04,311.35,322.06,306.07,321.39,116083400
